OID_,bouguer,X,Y,mag,bedmachine,roughness,beta,water,reflectivity
313,-5,-447147.607977914856747,-955689.345800164854154,,,,,,
314,-6,-437169.621905628591776,-955689.345800164854154,,,,,,
315,-6,-427191.635833342093974,-955689.345800164854154,,,,,,
316,-5,-417213.649761055829003,-955689.345800164854154,,,,,,
317,-5,-407235.663688769564033,-955689.345800164854154,,,,,,
318,-3,-397257.677616483299062,-955689.345800164854154,,,,,,
319,-2,-387279.691544197034091,-955689.345800164854154,,,,,,
320,0,-377301.705471910769120,-955689.345800164854154,,,,,,
321,2,-367323.719399624504149,-955689.345800164854154,,,,,,
322,4,-357345.733327338239178,-955689.345800164854154,,,,,,
323,7,-347367.747255051974207,-955689.345800164854154,,,,,,
324,9,-337389.761182765709236,-955689.345800164854154,,,,,,
325,10,-327411.775110479444265,-955689.345800164854154,,,,,,
326,9,-317433.789038193179294,-955689.345800164854154,,,,,,
327,10,-307455.802965906914324,-955689.345800164854154,,,,,,
328,9,-297477.816893620649353,-955689.345800164854154,,,,,,
329,7,-287499.830821334384382,-955689.345800164854154,,,,,,
330,4,-277521.844749048119411,-955689.345800164854154,,,,,,
331,-3,-596817.399062208831310,-965667.331872451119125,,,,,0.0031689,
332,-3,-586839.412989922566339,-965667.331872451119125,,,,,0.0021147,
333,-2,-576861.426917636301368,-965667.331872451119125,,,,,,
334,6,-566883.440845350036398,-965667.331872451119125,,,,,,
335,10,-556905.454773063771427,-965667.331872451119125,,,,,,
336,7,-546927.468700777506456,-965667.331872451119125,,,,,,
337,5,-536949.482628491241485,-965667.331872451119125,,,,,,
338,5,-526971.496556204976514,-965667.331872451119125,,,,,,
339,0,-516993.510483918711543,-965667.331872451119125,,,,,,
340,-1,-507015.524411632446572,-965667.331872451119125,,,,,,
341,-2,-497037.538339346181601,-965667.331872451119125,,,,,,
342,-1,-487059.552267059916630,-965667.331872451119125,,,,,,
343,-3,-477081.566194773651659,-965667.331872451119125,,,,,,
344,-3,-467103.580122487386689,-965667.331872451119125,,,,,,
345,-3,-457125.594050201121718,-965667.331872451119125,,,,,,
346,-2,-447147.607977914856747,-965667.331872451119125,,,,,,
347,-2,-437169.621905628591776,-965667.331872451119125,,,,,,
348,-2,-427191.635833342093974,-965667.331872451119125,,,,,,
349,-3,-417213.649761055829003,-965667.331872451119125,,,,,,
350,-3,-407235.663688769564033,-965667.331872451119125,,,,,,
351,-3,-397257.677616483299062,-965667.331872451119125,,,,,,
352,-3,-387279.691544197034091,-965667.331872451119125,,,,,,
353,-2,-377301.705471910769120,-965667.331872451119125,,,,,,
354,0,-367323.719399624504149,-965667.331872451119125,,,,,,
355,2,-357345.733327338239178,-965667.331872451119125,,,,,,
356,5,-347367.747255051974207,-965667.331872451119125,,,,,,
357,7,-337389.761182765709236,-965667.331872451119125,,,,,,
358,9,-327411.775110479444265,-965667.331872451119125,,,,,,
359,11,-317433.789038193179294,-965667.331872451119125,,,,,,
360,11,-307455.802965906914324,-965667.331872451119125,,,,,,
361,12,-297477.816893620649353,-965667.331872451119125,,,,,,
362,12,-287499.830821334384382,-965667.331872451119125,,,,,,
363,12,-277521.844749048119411,-965667.331872451119125,,,,,,
364,7,-596817.399062208831310,-975645.317944737384096,,,,,0.0054190,
365,4,-586839.412989922566339,-975645.317944737384096,,,,,0.0031689,
